任务ID,任务名称,任务类型,开始时间,结束时间,需要人数,已分配人数,是否已分配,是否缺人,分配的员工ID
1,调度,0,08:30,航后,1,1,是,否,main1
2,国内前台,1,08:30,航后,1,1,是,否,main5
5,国内前台早班,4,05:30,08:30,2,2,是,否,sub6;main5
6,国际前台早班,5,06:00,14:00,1,1,是,否,sub1
7,国际前台晚班,6,14:00,航后,1,1,是,否,sub2
24,外场（国内出港-少人）,23,09:00,10:30,2,2,是,否,main7;main8
25,外场（国内出港-多人）,24,09:30,11:00,4,4,是,否,sub3;sub4;sub5;sub7
26,外场（国内进港-少人）,25,10:45,11:20,2,2,是,否,sub8;main7
27,外场（国内进港-多人）,26,11:00,11:40,4,4,是,否,main8;sub3;sub4;sub5
28,外场（国际出港-少人）,27,13:00,14:30,2,2,是,否,sub8;sub7
29,外场（国际出港-少人）,27,13:25,14:30,2,2,是,否,main7;main8
30,外场（国际出港-少人）,27,18:00,19:30,2,2,是,否,sub8;sub3
31,外场（国际出港-少人）,27,15:00,17:30,2,2,是,否,sub4;sub5
32,外场（国际出港-多人）,28,20:30,22:00,4,4,是,否,sub6;sub7;main7;main8
33,外场（国际出港-少人）,27,13:00,14:30,2,2,是,否,sub3;sub6
34,外场（国际出港-少人）,27,13:25,14:30,2,2,是,否,sub4;sub5
35,外场（国际出港-少人）,27,18:00,19:30,2,2,是,否,sub7;main7
36,外场（国际出港-少人）,27,15:00,17:30,2,2,是,否,sub8;main8
37,外场（国际出港-多人）,28,20:30,22:00,4,4,是,否,sub3;sub4;sub5;sub8
38,外场（国际进港-少人）,29,14:45,15:20,2,2,是,否,sub6;sub7
39,外场（国际进港-多人）,30,15:00,15:40,4,4,是,否,main7;sub3;sub1;main2
8,国际厅内早班,7,06:00,14:00,2,2,是,否,sub2;main2
9,国际厅内晚班,8,14:00,航后,2,2,是,否,main2;main3
10,国内厅内早班,9,05:30,08:30,2,2,是,否,main2;main3
11,国内厅内08:30-09:30,10,08:30,09:30,2,2,是,否,main4;main6
12,国内厅内09:30-10:30,11,09:30,10:30,2,2,是,否,main2;main3
13,国内厅内10:30-11:30,12,10:30,11:30,3,3,是,否,main4;main6;main2
14,国内厅内11:30-12:30,13,11:30,12:30,3,3,是,否,main2;main3;main4
15,国内厅内12:30-13:30,14,12:30,13:30,3,3,是,否,main4;main6;main2
16,国内厅内13:30-14:30,15,13:30,14:30,2,2,是,否,main2;main3
17,国内厅内14:30-15:30,16,14:30,15:30,2,2,是,否,main4;main6
18,国内厅内15:30-16:30,17,15:30,16:30,2,2,是,否,main2;main3
19,国内厅内16:30-17:30,18,16:30,17:30,3,3,是,否,main4;main6;main2
20,国内厅内17:30-18:30,19,17:30,18:30,3,3,是,否,main2;main3;main4
21,国内厅内18:30-19:30,20,18:30,19:30,3,3,是,否,main4;main6;main2
22,国内厅内19:30-20:30,21,19:30,20:30,2,2,是,否,main2;main3
23,国内厅内20:30-航后,22,20:30,航后,2,2,是,否,main4;main6
3,国内前台协助,2,07:00,航后,1,1,是,否,main4
4,国内前台协助2,3,06:30,航后,1,1,是,否,main4
19800031,操作间任务,31,05:30,08:30,2,2,是,否,main4;main6
30600031,操作间任务,31,08:30,09:30,2,1,是,是,main3
34200031,操作间任务,31,09:30,10:30,2,1,是,是,main6
37800031,操作间任务,31,10:30,11:30,2,2,是,否,main2;main3
41400031,操作间任务,31,11:30,12:30,2,1,是,是,main6
45000031,操作间任务,31,12:30,13:30,2,2,是,否,main2;main3
48600031,操作间任务,31,13:30,14:30,2,2,是,否,main4;main6
52200031,操作间任务,31,14:30,15:30,2,0,否,是,
55800031,操作间任务,31,15:30,16:30,2,2,是,否,main4;main6
59400031,操作间任务,31,16:30,17:30,2,1,是,是,main3
63000031,操作间任务,31,17:30,18:30,2,2,是,否,main4;main6
66600031,操作间任务,31,18:30,19:30,2,2,是,否,main2;main3
70200031,操作间任务,31,19:30,20:30,2,2,是,否,main4;main6
73800031,操作间任务,31,20:30,航后,2,2,是,否,main2;main3
